"","POINT_ID","sci12_010_1km","sci13_010_1km","sci14_010_1km","sci15_010_1km","sci16_010_1km","sci17_010_1km","sci18_010_1km","sci19_010_1km","sci20_010_1km","sci21_010_1km","sci11_1040_1km","sci12_1040_1km","sci13_1040_1km","sci14_1040_1km","sci15_1040_1km","sci16_1040_1km","sci17_1040_1km","sci18_1040_1km","sci19_1040_1km","sci20_1040_1km","sci21_1040_1km","sci11_4070_1km","sci12_4070_1km","sci13_4070_1km","sci14_4070_1km","sci15_4070_1km","sci16_4070_1km","sci17_4070_1km","sci18_4070_1km","sci19_4070_1km","sci20_4070_1km","sci21_4070_1km","sci11_GT70_1km","sci12_GT70_1km","sci13_GT70_1km","sci14_GT70_1km","sci15_GT70_1km","sci16_GT70_1km","sci17_GT70_1km","sci18_GT70_1km","sci19_GT70_1km","sci20_GT70_1km","sci21_GT70_1km"
"157","EMPAID_K06",0,0.0293341,0.0293341,0.0586682,0.0293341,0.0586682,0.0880023,0.0880023,0.1173365,0.2053388,14.4323845,15.2830744,15.6937523,16.1044292,17.9231453,20.5045471,20.8565559,20.885891,20.3285427,20.0645351,19.976532,57.7002068,59.0495758,59.988266,60.5749474,62.8923454,60.5749474,60.6042824,61.2496338,62.5990028,63.3323555,63.0390129,22.9979458,20.7978878,19.4191837,18.4218254,14.2563801,14.0217075,13.6110296,12.907011,12.1149893,11.6163101,11.9096508
"158","EMPAID_K07",0,0.0293341,0.0293341,0.0586682,0.0293341,0.0293341,0.0586682,0.0586682,0.0880023,0.1760047,14.5497217,15.4884129,15.7524204,16.1337643,18.2751541,20.6512165,21.1205635,21.4725723,20.7392197,20.5925484,20.6805515,59.6069221,60.4282799,61.7776489,62.1296577,64.3003845,61.4256363,61.6016426,61.6896439,62.9510117,63.4203568,62.9216766,21.0912285,19.3311825,17.6884708,16.9551182,12.6136694,13.1416836,12.4963331,12.0269871,11.4989729,11.1469641,11.4696388
"159","EMPAID_K08",0,0.0293341,0.0293341,0.0586682,0.0293341,0.0293341,0.0586682,0.0586682,0.1173365,0.1760047,12.5550013,13.4936934,13.8163681,14.1977119,16.4857731,18.8325024,19.0378418,19.6538582,18.9498386,18.7738342,18.9791737,59.958931,61.1616325,62.5110016,62.6870041,65.3857422,62.1296577,62.5990028,62.4523315,63.567028,63.9777069,63.567028,23.2912884,21.1498966,19.4485188,18.8911705,13.8750362,14.8137283,14.1390438,13.6403637,13.2296858,12.9363451,13.0830154
"160","EMPAID_K09",0,0.0293341,0.0293341,0.0293341,0.0293341,0.0293341,0.0293341,0.0293341,0.0293341,0.0880023,11.557642,12.5843353,12.9950132,13.2003517,15.4590788,18.0698147,18.3631573,19.0085068,18.3044872,18.4804935,18.6858311,55.9988251,57.4068642,58.6388969,59.1962471,61.8363152,58.9029045,59.5482559,59.6362572,60.8682899,61.0149612,60.5162811,26.3420353,23.9073048,22.23526,21.4725723,16.5737762,16.89645,15.9577589,15.2244062,14.6963921,14.3737164,14.6083899
"161","EMPAID_L01",0.0293341,0.0293341,0.0293341,0.0586682,0.0880023,0.0880023,0.0293341,0,0.0293341,0.2053388,5.5148139,6.1308303,8.1842184,8.8295689,8.8295689,11.2056322,11.3816366,11.3816366,10.9416246,10.5016136,10.4429455,47.3159294,57.2015266,59.2255783,61.4843063,62.0416527,57.2895279,57.4948654,58.1988869,58.7562332,59.4602509,59.2549133,42.8864784,32.3848648,28.3074207,25.4033432,24.8166618,27.1633911,26.7820473,26.1366978,26.0486946,25.7553539,25.8433552
"162","EMPAID_L10",0,0,0.0293341,0.0293341,0.0293341,0.0586682,0.1173365,0.1173365,0.1760047,0.264007,10.648284,11.2349663,11.4989729,11.7043123,12.5843353,15.1950722,15.6644173,16.3977699,16.3977699,16.5737762,17.0431213,51.4520378,51.4520378,51.7160454,51.8627167,52.7134056,49.7213249,49.80933,50.1320038,50.3666763,50.6893501,50.0440025,30.0674686,29.4807854,28.9527721,28.5714283,26.8407154,27.2220592,26.6353779,25.5206814,25.2860069,24.7286587,24.8166618
"163","EMPAID_L02",0.0293341,0.0293341,0.0293341,0.0586682,0.0880023,0.0880023,0.0293341,0,0.0293341,0.1173365,2.5814021,3.1974187,5.2801409,5.8961573,6.6001759,9.0055733,9.2109127,9.5335875,8.8002348,8.3308887,8.3895569,46.3772354,55.2361412,57.9348793,60.1642723,60.7802887,55.9108238,55.9988251,56.2041664,56.8495178,57.788208,57.758873,44.9985352,35.523613,30.7421532,27.8967438,26.5473747,28.9821053,28.6887646,28.2194195,28.3367558,27.8380756,27.7207394
"164","EMPAID_L03",0.0293341,0.0293341,0.0293341,0.0586682,0.0293341,0.0586682,0.0586682,0.0293341,0.0880023,0.1173365,2.6107364,3.0214138,4.4001174,4.8107948,4.7521267,6.4241714,6.5121737,6.8348489,6.6588445,6.2775006,6.4828396,47.4626007,53.9747734,56.6441765,59.2255783,60.046936,55.58815,55.7054863,56.1454964,55.9401588,56.9081841,56.7028465,44.5291862,37.6063347,33.5582275,30.5661488,29.774128,32.5902023,32.3555298,31.5928421,32.003521,31.3581696,31.3288345
"165","EMPAID_L04",0.0293341,0.0293341,0.0586682,0.0586682,0.0293341,0.0586682,0.1173365,0.0880023,0.1466706,0.1760047,3.3440893,3.549428,4.1361103,4.6054564,4.5761218,5.9254913,5.9841595,6.2188325,6.1894984,5.8081551,6.0721622,48.3132896,53.1827507,55.52948,57.758873,58.697567,54.9427986,55.0307999,55.558815,55.2948074,55.9694939,55.52948,43.3851585,38.3103561,35.3769417,32.6488724,31.7395134,34.1742439,33.9982414,33.1768837,33.4995613,33.1475525,33.29422
"166","EMPAID_L05",0.0293341,0.0293341,0.0586682,0.0586682,0.0293341,0.0586682,0.1173365,0.0880023,0.1466706,0.2053388,3.9014373,4.2241125,4.9867997,5.4561453,5.4854798,6.6881785,6.7761807,6.9815197,6.9815197,6.4828396,6.7175126,46.699913,51.100029,53.6227646,56.0281601,57.1428566,55.6174812,55.6761513,56.1161613,55.7348213,56.7321777,56.3801689,43.1798172,38.4570236,35.1716042,32.2675285,31.123497,31.4755058,31.2995014,30.5954819,31.0061607,30.4488125,30.5074806
