POINT_ID,sci12_010_1km,sci13_010_1km,sci14_010_1km,sci15_010_1km,sci16_010_1km,sci17_010_1km,sci18_010_1km,sci19_010_1km,sci20_010_1km,sci21_010_1km,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,sci11_4070_1km,sci12_4070_1km,sci13_4070_1km,sci14_4070_1km,sci15_4070_1km,sci16_4070_1km,sci17_4070_1km,sci18_4070_1km,sci19_4070_1km,sci20_4070_1km,sci21_4070_1km,sci11_GT70_1km,sci12_GT70_1km,sci13_GT70_1km,sci14_GT70_1km,sci15_GT70_1km,sci16_GT70_1km,sci17_GT70_1km,sci18_GT70_1km,sci19_GT70_1km,sci20_GT70_1km,sci21_GT70_1km
EMFWOR_LILT2-01,0,0,0,0,0,0.3226753,0.762687,0.9973599,0.8800235,0.762687,23.1739521,22.6166039,21.9419193,21.4139042,21.0032272,26.694046,48.2546196,48.7239647,48.1959534,47.7852745,46.5239067,54.0921097,54.678791,55.3534775,55.7934875,56.1748314,49.80933,28.2194195,27.2220592,27.5153999,27.8967438,29.1874447,0.0880023,0.0586682,0.0586682,0.1466706,0.1760047,0.8506894,0.5573482,0.6453505,0.6453505,0.7920211,0.8800235
EMFWOR_LILT2-02,0,0,0,0,0,0.2933412,0.9386917,1.2320329,1.0853623,0.9680258,20.3872108,19.9178638,19.5071869,19.0378418,18.4511585,22.4699326,47.0519218,48.2546196,47.6386032,47.2572594,45.9958916,58.8442345,59.3429146,59.7535934,60.1349373,60.6922836,55.9694939,31.3875046,29.4514523,29.774128,30.0968018,31.3875046,0.0880023,0.0586682,0.0586682,0.1466706,0.1760047,0.8800235,0.5866823,0.6746846,0.6746846,0.8800235,0.9680258
EMFWOR_LILT2-03,0,0,0,0,0,0.3813435,1.2320329,1.6133764,1.4373716,1.290701,18.5391617,18.2458191,17.805809,17.3951302,16.89645,24.2299786,51.9213829,51.8333817,51.158699,50.8946915,49.9559975,58.3162231,58.6388969,59.078907,59.4015846,59.8709297,51.7747154,23.9659729,23.1446171,23.4086246,23.6432972,24.6113224,0.0880023,0.0586682,0.0586682,0.1466706,0.1760047,0.9386917,0.6746846,0.7333529,0.762687,0.9680258,1.0853623
EMFWOR_LILT2-04,0.0880023,0.0880023,0.0880023,0.0880023,0.0880023,0.3813435,1.4080375,1.760047,1.4960399,1.3787035,17.0724545,16.9551182,16.6617775,16.2511005,15.7524204,19.6538582,49.3106499,49.3399811,48.7239647,48.4012909,47.1985931,56.1161613,56.2921677,56.5855103,56.9668541,57.4655342,52.7427406,23.0566139,22.0299206,22.205925,22.5872688,23.8193016,0.1173365,0.0586682,0.0586682,0.0880023,0.0880023,0.9093576,0.6453505,0.6160164,0.7040188,0.9093576,0.9973599
EMFWOR_LILT2-05,0.1173365,0.1173365,0.1173365,0.1173365,0.0880023,0.3226753,1.3493693,1.8773834,1.7013787,1.6427104,17.1017895,16.7791138,16.5151062,15.987093,15.4884129,18.4804935,47.6679382,49.9853325,49.1346436,48.5479622,47.1399231,56.8495178,57.2308578,57.4655342,57.9935455,58.4628906,54.8841286,25.7553539,22.4405975,22.675272,23.2032852,24.6699905,0.264007,0.2053388,0.2346729,0.2346729,0.264007,0.8800235,0.5866823,0.5573482,0.6453505,0.8800235,0.8800235
EMFWOR_LILT2-06,0.1173365,0.1173365,0.1173365,0.1173365,0.1173365,0.5573482,1.9947199,2.552068,2.2880609,2.0827222,17.0724545,16.9551182,16.8084488,16.7204456,16.1630974,19.3605156,49.9853325,51.4520378,50.6600189,50.3373413,49.3399811,51.9507179,52.1853905,52.3027267,52.3907318,52.9774132,49.1346436,18.3338223,15.4590788,15.6350832,16.1044292,17.336462,0.1760047,0.0586682,0.0880023,0.0880023,0.0586682,0.7040188,0.4400117,0.4106776,0.4693458,0.5866823,0.5573482
EMFWOR_LILT2-07,0.1173365,0.1173365,0.1173365,0.1173365,0.1466706,0.4693458,2.0533881,2.6107364,2.2880609,2.0533881,21.2085648,20.7392197,20.5045471,19.9471989,19.5365219,22.1765919,50.8360214,52.6547356,51.6280441,51.3347015,49.9559975,51.7747154,52.3613968,52.5667343,53.1240845,53.5640945,50.3666763,21.5899086,18.2458191,18.656498,19.1845112,20.7978878,0.1760047,0.0586682,0.0880023,0.0880023,0.0586682,0.5866823,0.3813435,0.3226753,0.3813435,0.4693458,0.4693458
EMFWOR_LILT2-08,0.1760047,0.1760047,0.1760047,0.2053388,0.1173365,0.5573482,2.2587268,2.8160751,2.4933999,2.2293928,22.7926083,22.4405975,22.205925,21.5312405,21.1498966,24.6699905,52.2733955,54.2681122,53.2120857,52.9187431,51.6867104,46.1718979,46.611908,46.8172493,47.4919319,47.8732758,43.9131699,16.1630974,12.525667199999999,12.9656792,13.4936934,14.9897327,0.264007,0.1466706,0.1760047,0.1760047,0.1466706,0.6746846,0.3813435,0.3226753,0.3813435,0.4693458,0.4693458
EMFWOR_LILT2-09,0.1173365,0.1466706,0.1466706,0.1760047,0.2053388,0.6160164,2.0533881,2.552068,2.4053974,2.0533881,22.9686127,22.6166039,22.2645931,21.5899086,21.1498966,24.1713104,49.8386612,53.4467583,52.2733955,51.7160454,50.4253464,48.1079483,48.5772972,48.870636,49.5746536,49.9559975,46.4065704,20.6512165,15.6644173,16.2804337,16.89645,18.5391617,0.264007,0.1760047,0.2053388,0.1760047,0.2053388,0.7040188,0.3813435,0.3226753,0.3813435,0.4693458,0.4693458
EMFWOR_LILT2-10,0.3226753,0.3226753,0.264007,0.264007,0.3226753,0.7040188,2.0827222,2.4640658,2.2880609,1.9947199,27.104723,26.8407154,26.694046,25.9606915,25.0806694,27.9847469,48.9879723,52.1560593,51.3053665,50.8653564,49.6626587,44.3531837,44.6758575,44.7931938,45.6438828,46.4945717,43.121151,22.0005875,17.5124664,17.9231453,18.4511585,19.9178638,0.2933412,0.2053388,0.2346729,0.1760047,0.2053388,0.6160164,0.3520094,0.2933412,0.3520094,0.4400117,0.4693458
EMFWOR_RIMT1-08,0.0293341,0.0586682,0.0293341,0.0880023,0.0880023,0.1173365,0.2346729,0.6160164,0.7333529,0.7920211,20.2992077,19.8005276,19.4191837,18.3924904,17.8351421,15.3417425,15.6350832,37.2836609,39.5130539,38.3983574,36.7556458,72.5432663,72.8072739,72.8659439,73.5699615,73.6286316,71.5459061,74.3033142,57.5535355,55.4708138,56.6441765,58.2868881,4.7227926,4.9574656,5.2508068,5.6028161,6.0428276,10.6189499,7.5388675,2.5227339,1.9947199,1.8187152,1.760047
EMFWOR_RIMT1-09,0,0.0293341,0,0.0586682,0.0586682,0.0880023,0.1760047,0.6160164,0.6746846,0.7333529,19.2138462,18.5391617,18.5391617,17.5418015,17.0137863,14.4030504,14.9603987,36.9903183,37.8410072,37.0196533,35.7289543,71.076561,71.428573600000007,71.135231,71.8392487,71.8979187,69.6978607,72.3672638,55.6761513,55.0601349,56.0281601,57.2895279,5.9254913,6.2481666,6.5121737,6.8348489,7.2455263,12.0563211,8.8002348,3.3734233,2.6987386,2.4933999,2.4640658
EMFWOR_RIMT1-10,0,0,0,0,0,0.0293341,0.0880023,0.4693458,0.5280141,0.5866823,18.7444992,18.5978298,18.7151661,17.9524784,17.5124664,14.5497217,15.6057491,37.723671,38.8677025,38.3396873,37.3423309,71.2525635,71.047226,70.7832184,71.164566,71.2232361,68.935173,71.3405685,54.7081261,53.8867722,54.6201248,55.58815,6.4241714,6.7761807,6.9228511,7.3041949,7.6855383,12.9363451,9.4455853,3.9014373,3.1974187,2.9334116,2.9040775
EMFWOR_LILT3-09,0.1466706,0.1173365,0.1466706,0.1466706,0.3813435,0.8506894,2.8160751,3.0214138,3.0507481,2.5814021,28.894104,28.5420952,28.4247589,28.1314163,28.01408,30.0968018,58.7562332,61.337635,61.5429764,61.4549713,60.9856262,60.6336174,60.9856262,61.1616325,61.5136414,61.5723076,59.078907,30.0381336,25.5500145,25.1980057,25.2860069,26.254034,0.2933412,0.2933412,0.264007,0.1760047,0.2346729,0.4106776,0.3226753,0.264007,0.2053388,0.1760047,0.1466706
EMFWOR_LILT3-10,0.5573482,0.5573482,0.6160164,0.6160164,0.9386917,1.4667058,3.6374304,3.9307716,3.9894397,3.4320915,30.0968018,29.9501324,29.8621292,29.6861248,29.6861248,31.5928421,59.9002647,60.1936035,60.2229385,60.2229385,59.6655922,54.4734535,54.6201248,54.7374611,54.9427986,54.9134636,52.5080681,23.8193016,21.3845711,21.0912285,21.0618954,22.205925,0.3226753,0.3226753,0.2933412,0.2053388,0.2346729,0.4106776,0.264007,0.2346729,0.2053388,0.1760047,0.1466706
EMFWOR_RIMT1-03,0,0.0293341,0,0.0586682,0.0586682,0.0586682,0.1173365,0.4106776,0.6453505,0.762687,27.3393955,27.7794075,27.3687305,26.9287186,26.2833672,27.075388,27.6034031,37.8410072,48.5772972,47.4919319,45.4972115,65.8550873,65.2684097,65.5324173,65.9724274,66.3831024,64.6230545,64.417717,54.8841286,43.9425049,44.8225288,46.7879143,0.8800235,1.0266941,1.1440305,1.1733646,1.3493693,2.3173952,1.9947199,1.2320329,1.1440305,1.1146964,1.0266941
EMFWOR_RIMT1-04,0.0293341,0.0586682,0.0293341,0.0880023,0.0880023,0.0880023,0.1760047,0.5280141,0.762687,0.9386917,22.5872688,22.645937,22.1472569,21.5899086,21.0325603,21.0325603,21.5605755,34.2035789,44.5585213,43.531826,41.7717819,72.6312714,72.3672638,72.7486038,73.1592865,73.2472839,71.3112335,71.8392487,60.8682899,50.220005,51.2173653,52.9187431,1.8480493,2.0533881,2.1413903,2.3173952,2.7280726,4.6641245,3.6080961,1.8480493,1.789381,1.5840422,1.4667058
