Visit_ID,Species,Sex,Detection,Distance_class,Behavior,Time_left_min,Time_left_sec,Comments,Period
EMMAOR_CLIFFC2-06_2019-06-05,WHWO,M,V,0_50,FL,3,30,WHWO M flew in on 1st call w/in 16m of pt06,DU
EMMAOR_RATT1-04_2019-06-11,WHWO,U,A,0_50,C,3,0,"Immediate WHWO response to Foxpro, vocal could not see bird, distant drumming ~144deg",DU
EMMAOR_RATT1-10_2019-06-11,WHWO,U,A,50_150,C,999,999,Confirmed possible WHWO call at 16deg after finishing pt. still at pt10,DU
EMMAOR_MDC2-08_2019-06-12,WHWO,M,V,0_50,FL,3,16,"Saw M come flying in afer 1st set of calls, saw M on hike in to pt from 9 to 8, FOR in tree",DU
EMMAOR_PRONGC2-03_2019-06-13,WHWO,F,V,0_50,F,1,11,"F, no metal tag on PC tree",DU
EMMAOR_PRONGC2-07_2019-06-13,WHWO,M,V,0_50,F,0,30,F Can hear faint drumming far off,DU
EMMAOR_CLIFFC1-01_2019-06-14,WHWO,M,V,0_50,FL,1,50,"M+F flew in w/in 10m during last call, stayed in area and M began aggitated calling",DU
EMMAOR_CLIFFC1-01_2019-06-14,WHWO,F,V,0_50,FL,1,50,"M+F flew in w/in 10m during last call, stayed in area and M began aggitated calling",DU
EMMAOR_CLIFFC1-02_2019-06-14,WHWO,M,V,0_50,FL,0,53,M flew in silent + started flying from tree to tree,DU
EMMAOR_WOLFC2-09_2019-06-18,WHWO,U,A,50_150,C,4,15,"Heard call as I was setting up for pt 9 at 40 deg, heard again at start of call play, no visual",DU
EMMAOR_WOLFC2-09_2019-06-18,WHWO,M,V,0_50,C,2,20,"Heard this bird at 335 deg, after 3rd play call, M WHWO came in to tree 10m from me, Think they are using area N/NE of pt9",DU
EMMAOR_WOLFTA1-07_2019-06-18,WHWO,U,V,50_150,C FL,1,30,"FL into a tree, heard c",DU
EMMAOR_MDC1-01_2019-06-20,WHWO,M,V,0_50,D,0,37,,DU
EMMAOR_RATT2-10_2019-06-20,WHWO,F,A,50_150,C,0,57,Called before becoming silent. Within 50m of NRATT10A-2019,DU
EMMAOR_ELKT1-08_2019-06-24,WHWO,M,V,0_50,D FL,2,27,"WHWO flew in on 3rd call, M at 280deg from pt8, I believe I heard drumming >100m on 2nd call",DU
EMMAOR_SAGEC1-10_2019-06-24,WHWO,U,A,50_150,C,2,0,ACA from before pt10. nest located nearby. Called for duration of pt.,DU
EMMAOR_SAGEC1-05_2019-06-24,WHWO,M,A,50_150,C,0,15,M calling for ~10sec. Flew in at last second. Loud FOR. POST ACA while writing,DU
EMMAOR_SAGEC1-05_2019-06-24,WHWO,M,V,0_50,C,0,1,M calling for ~10sec. Flew in at last second. Loud FOR. POST ACA while writing,DU
EMMAOR_DUGC1-05_2019-06-25,WHWO,M,A,0_50,D,0,45,"Drumming heard near pt ~20m, confirmed visual WHWO male",DU
EMMAOR_WOLFTB1-01_2019-06-26,WHWO,U,V,0_50,F FL,0,46,wingbeats and foraging heard above transect tree. Confirmed as WHWO sex unk,DU
EMMAOR_WOLFTB1-10_2019-06-26,WHWO,M,V,0_50,D FL,2,16,drumming heard from multiple locations AD. M arrived during 3rd call. Remained in area drumming.,DU
EMMAOR_WOLFTB2-04_2019-06-26,WHWO,M,V,0_50,D,1,32,DR,DU
EMMAOR_CLIFFC2-07_2019-06-27,WHWO,M,V,0_50,C F,1,20,"C, F nest at top of tree (snag) opposite pt7 tree?? Loud chatter then a bird flew off again",DU
EMMAOR_CUBT2-06_2019-06-27,WHWO,M,V,50_150,C F,0,41,"M flew in, called twice, then began to forage loudly. Likely from CUBT208A",DU
EMMAOR_UPCA1-05_2019-06-28,WHWO,U,A,ovr_150,C,2,18,"Could hear WHWO to the N. Heard them after 3rd playback call, did full wait.",DU
EMMAOR_UPCA1-07_2019-06-28,WHWO,M,V,0_50,D FL O,2,0,"Heard drumming at first then right after 3rd playback M WHWO came in <50m away. M had food in beak; DIFFERNET THAN M AT PT5, THIS ONE CAME FROM S.",DU
EMMAOR_UPCB1-07_2019-06-28,WHWO,U,V,0_50,D FL,3,45,Heard WHWO wingbeat. WHWO flew right above me heading W @280deg. WHWO returned 30 sec later on same flight path headed E at 100deg then proceeded to drum. Active cavity near pt7,DU
EMMAOR_FLAGC2-02_2019-07-01,WHWO,U,A,50_150,C,4,9,WHWO heard responding to call >50m to the N,DU
EMMAOR_FLAGC2-06_2019-07-01,WHWO,M,V,0_50,D F FL,2,24,Heard wingbeat. WHWO did not call. Flew off @ 100deg E. Returned and foraged around pt6,DU
EMMAOR_FLAGC2-07_2019-07-01,WHWO,M,V,0_50,D F FL,3,32,Heard wingbeat. Spotted WHWO in nearby tree. M proceeded to drum and forage around pt7; F WHWO arrived while preparing to head to pt8,DU
EMMAOR_FLAGC2-08_2019-07-01,WHWO,M,V,0_50,D FL,1,55,Heard wingbeat of WHWO. Spotted M in nearby tree. Heard drumming and flying around pt8,DU
EMMAOR_FLAGC2-10_2019-07-01,WHWO,M,A,0_50,C FL,2,53,WHWO responded to call. Spotted in nearby tree. Made more vocalizations.,DU
EMMAOR_WOLFTB4-04_2019-07-01,WHWO,F,V,0_50,F FL,2,24,"F flew in close and silent, began foraging on trees w/in 10m of pt4 tree",DU
EMMAOR_MDC2-05_2019-07-02,WHWO,M,V,0_50,FL,2,30,"M WHWO flew in on last call w/in 20m, started drumming",DU
EMMAOR_PRONGC2-03_2019-07-02,WHWO,M,A,ovr_150,D,0,36,Drumming to the W. Followed drumming and located M WHWO,DU
EMMAOR_PRONGC2-01_2019-07-02,WHWO,U,V,50_150,C FL,2,20,,DU
EMMAOR_RATT1-03_2019-07-02,WHWO,F,V,50_150,FY,0,9,nest found,DU
EMFWOR_CAMC8-07_2020-05-20,WHWO,U,A,50_150,C,6,45,"WHWO detect, 215deg, could never get a visual",DU
EMFWOR_BGCT1-01_2020-05-22,WHWO,F,V,0_50,FL P,6,11,F WHWO flew in a bit after 3rd playback call. Flew into tree S of 1 ~20m. Flew in from the W. Also had HAWO fly into same tree.,DU
EMFWOR_BGCT1-09_2020-05-22,WHWO,U,V,0_50,FL,5,30,"Hail starting. Had a woodpecker fly in, 60-70% sure WHWO. Saw white. Flew in then away quick and quiet. Went to the S. Came in from NW. Tried to follow but lost it.",DU
EMFWOR_CAMC4-10_2020-05-26,WHWO,F,A,0_50,C FL,1,22,"WISN, AMRO, MOCH, DEJU, WHWO flew in to tree ~10m away calling, WHWO F calling and flying between trees on meadow edge",DU
EMFWOR_CAMC4-06_2020-05-26,WHWO,U,V,0_50,FL,5,30,"RBNU, MOCH, flycatcher sp. (hammond's), WHWO flew in silently, started calling after I stopped the survey, ~257deg",DU
EMFWOR_CAMC4-05_2020-05-26,WHWO,U,A,50_150,C,,,"some foraging pecks and fast, continuous drumming at 0325 ~58deg, ~100m. Attempted to locate bird at the end of survey, but could not find to confirm species (stopped drumming). *before leaving for pt 04, WHWO rattle near pt5 at ~352deg, ~100m",AF
EMFWOR_SWRC2-10_2020-05-27,WHWO,F,V,999,C D FL,,,"HAWO COP, WHWO pair flew in after survey and F started CA, followed DR and CA in circles for quite awhile, found HAWO cav and signs of work on other unfinished cavs, sapsucker cav",AF
EMFWOR_SWRC2-10_2020-05-27,WHWO,M,V,999,C D FL,,,"HAWO COP, WHWO pair flew in after survey and F started CA, followed DR and CA in circles for quite awhile, found HAWO cav and signs of work on other unfinished cavs, sapsucker cav",AF
EMFWOR_LFTT2-02_2020-05-28,WHWO,M,A,999,D FL,,,"heard DR while walking back to the truck after surveys, called bird in and saw M, flyover and DR, off main rd above pt 2",TR
EMFWOR_CAMC1-02_2020-06-01,WHWO,F,V,0_50,FL,3,30,"drumming before start. Heard drumming then went to look and WHWO F. First heard at 40deg, flew off at 320deg. Got clear visual and F WHWO came in close to point 2, it came in and left to the N of pt2.",DU
EMMAOR_FLAGC2-03_2014-05-12,WHWO,F,V,0_50,F,3,58,Different WHWO also heard after survey ~100m SE of pt,DU
EMMAOR_FLAGC2-04_2014-05-12,WHWO,F,V,0_50,P,2,24,Possible same individual as @ pt 3,DU
EMMAOR_FLAGC2-10_2015-06-08,WHWO,U,A,0_50,D,0,44,"Heard a bird fly by w 1:30 remaining, but couldn't get ID.  @ 0:44 heard DR.  After survey ended, check out DR and it was a WHWO",DU
EMMAOR_MDC1-01_2014-05-29,WHWO,F,V,0_50,F,1,18,F foraging on 25cm dbh PIPO only 17m W of pt cnt tree,DU
EMMAOR_MDC1-03_2014-05-29,WHWO,F,V,0_50,FL,1,16,Saw/heard F fly in from NNW simultaneously; F PE silently in PIPO 45m N,DU
EMMAOR_MDC1-04_2016-05-18,WHWO,U,A,ovr_150,C,2,14,WHWO 2:14 rattle >150m.  Distinct.,DU
EMMAOR_MDC1-07_2016-05-18,WHWO,F,A,0_50,C,0,45,Female CA <50m.  Few in close.,DU
EMMAOR_MDC1-08_2015-06-17,WHWO,M,A,0_50,FL,1,33,"Flew in from N, flat area between pts 7 and 8, flew away to S, just over the ridge there's chainsawing.  Few large trees are felled.",DU
EMMAOR_MDC1-10_2016-06-22,WHWO,U,A,50_150,C,2,35,WHWO rattled 3 times approx 100m NW of pt 10,DU
EMMAOR_MDC2-04_2016-05-25,WHWO,F,V,0_50,FL,4,0,"Female flew from nearby tree overhead to another tree calling, male stayed in tree.",DU
EMMAOR_MDC2-04_2016-05-25,WHWO,M,V,0_50,P,4,0,"Female flew from nearby tree overhead to another tree calling, male stayed in tree.",DU
EMMAOR_MDC2-08_2014-05-22,WHWO,F,V,0_50,FL,2,4,DR on nearby PSME snag; looked into old cavity on snag; Different WHWO CA N of pt,DU
EMMAOR_PAWT1-04_2014-05-09,WHWO,U,A,ovr_150,C,3,40,"Before survey CA and rattle WHWO from E > 150m, CA and rattle WHWO > 150m E during survey",DU
EMMAOR_PAWT1-06_2014-05-09,WHWO,F,V,0_50,FL,2,5,"F WHWO obs Flying in from W (silent), flew across rd then above me, began to FOR",DU
EMMAOR_PAWT1-06_2014-05-09,WHWO,F,V,50_150,FL,2,36,"F WHWO obs Flying in from W (silent), flew across rd then above me, began to FOR",DU
EMMAOR_PAWT1-06_2015-06-30,WHWO,U,A,50_150,C,3,43,Called before and during survey.  Never came in.  Went to find it to get gender but it stayed quiet.,DU
EMMAOR_PAWT1-07_2014-05-09,WHWO,U,A,ovr_150,C,2,20,CA & DR to W of Pt tree,DU
EMMAOR_PAWT1-08_2014-06-05,WHWO,U,A,50_150,C,3,10,CA heard SE of pt,DU
EMMAOR_PAWT1-09_2014-05-09,WHWO,U,A,ovr_150,C,2,51,"Heard distant CA from S, after survey time also CA",DU
EMMAOR_PAWT1-09_2015-06-30,WHWO,M,A,50_150,C F,3,28,Gave a short chirp w/ 3:28 remaining.  Had to go find him.,DU
EMMAOR_PAWT1-10_2015-06-30,WHWO,M,V,0_50,F FL,4,6,"WHWO was only ~20m from transect tree when playback started, then flew to 45m and foraged.  Saw it flying away.",DU
EMMAOR_PRONGC1-08_2014-05-13,WHWO,U,A,50_150,C,2,36,Heard WHWO CA from tree cluster 113m SW of Pt count; no visual,DU
EMMAOR_PRONGC2-01_2014-06-23,WHWO,M,A,ovr_150,C,1,51,,DU
EMMAOR_PRONGC2-01_2015-06-30,WHWO,U,A,50_150,C,0,5,WHWO calls to W @ >50m,DU
EMMAOR_PRONGC2-02_2014-05-27,WHWO,M,A,0_50,C,3,21,Heard these WHWOs CA before pt count; F flew in only 6 secs after pt cnt was offically over due to M flying w/in 50m,DU
EMMAOR_PRONGC2-02_2014-05-27,WHWO,M,A,50_150,C,4,13,Heard these WHWOs CA before pt count; F flew in only 6 secs after pt cnt was offically over due to M flying w/in 50m,DU
EMMAOR_PRONGC2-02_2014-05-27,WHWO,F,V,0_50,FL,3,15,Heard these WHWOs CA before pt count; F flew in only 6 secs after pt cnt was offically over due to M flying w/in 50m,DU
EMMAOR_PRONGC2-02_2015-06-02,WHWO,M,V,0_50,F,3,10,WHWO heard before survey,DU
EMMAOR_PRONGC2-04_2014-05-27,WHWO,M,A,0_50,F,4,29,M foraging 45m to W of pt cnt tree OA (started Foxpro to make detection official),DU
EMMAOR_PRONGC2-06_2015-06-02,WHWO,M,A,50_150,D FL,3,0,WHWO male came in from NNE,DU
EMPAID_CU04_2016-06-23,WHWO,U,A,ovr_150,C,3,15,"Top of ridge with abundant snags, 3:15 WHWO CA heard from pt 5 area",DU
EMPAID_D04_2016-06-24,WHWO,M,A,0_50,C FL,4,10,"Male WHWO flew from SE into P.C. tree, calling on the way.  Female could be heard after point count.",DU
EMPAID_A03_2016-06-27,WHWO,U,A,50_150,C FL,5,40,"WHWO observed from 132m SE of nest, flying east, drum and call at cavity",DU
EMPAID_A03_2016-06-27,WHWO,U,A,ovr_150,C,6,30,"WHWO observed from 132m SE of nest, flying east, drum and call at cavity",DU
EMPAID_A02_2016-06-27,WHWO,U,A,0_50,C,0,10,"Chainsaws audible, trucks working nearby; WHWO call from SE of point",DU
EMPAID_T06_2016-06-27,WHWO,U,A,0_50,C FL,5,13,Drumming OA to SW.  WHWO called then flew within 50m from NW.  Perched and flew.  2nd WHWO heard calling from N.,DU
EMPAID_T06_2016-06-27,WHWO,U,A,50_150,C,5,47,Drumming OA to SW.  WHWO called then flew within 50m from NW.  Perched and flew.  2nd WHWO heard calling from N.,DU
EMPAID_T06_2016-06-27,WHWO,U,A,999,C,5,13,Drumming OA to SW.  WHWO called then flew within 50m from NW.  Perched and flew.  2nd WHWO heard calling from N (missing distance bin),DU
EMPAID_SF04_2016-06-28,WHWO,M,V,0_50,FL,5,20,"5:20 <50m away male WHWO landed on PIPO, came in from NE silently. Remained in area until 0822 and went back to NE.  Confirmed male was unbanded, possibly from SF05 nest?",DU
EMPAID_B04_2016-06-29,WHWO,F,V,0_50,FL,4,37,"4:37 female WHWO flew in silent from WNW, then relocated to live PIPO and lost visual",DU
EMPAID_M06_2016-07-01,WHWO,U,A,50_150,C,0,45,"WHWO called from N of point count tree, no visual",DU
EMPAID_2WS02_2016-07-01,WHWO,M,V,50_150,C,5,11,"HAWO calling.  Heard WHWO calling 50-150m, then SSW same one fly in to <50m.  Did not call after. Male.",DU
EMPAID_2WS02_2016-07-01,WHWO,M,V,0_50,FL,4,7,"HAWO calling.  Heard WHWO calling 50-150m, then SSW same one fly in to <50m.  Did not call after. Male.",DU
EMPAID_2WS05_2016-07-01,WHWO,U,V,ovr_150,C,2,20,Heard WHWO calling WSW across ravine from point.  Stayed there the whole time.,DU
EMPAID_2WS09_2016-07-01,WHWO,F,V,0_50,FL,3,30,"Female WHWO flew up to tree about 30m W of point count tree.  Didn't call but stayed, a few taps.",DU
EMMAOR_CLIFFC1-03_2017-06-15,WHWO,M,A,ovr_150,C,1,45,Single WHWO C @ 1:45 remaining SW of pt 3. Consistant D @ 00:30 remaining (confirmed WHWO),DU
EMMAOR_CLIFFC1-03_2017-06-15,WHWO,M,A,0_50,C,0,30,Single WHWO C @ 1:45 remaining SW of pt 3. Consistant D @ 00:30 remaining (confirmed WHWO),DU
EMMAOR_CLIFFC1-04_2017-05-19,WHWO,M,A,50_150,C,3,50,M flew in  from W (last pt). Same bird as last pt. AG CA within 5m of point,DU
EMMAOR_CLIFFC1-04_2017-05-19,WHWO,M,A,0_50,C,2,50,M flew in  from W (last pt). Same bird as last pt. AG CA within 5m of point,DU
EMMAOR_CLIFFC1-05_2017-05-19,WHWO,M,V,0_50,C FL,1,34,M flew in within 50m and gave rattle call from SE,DU
EMMAOR_CLIFFC1-06_2017-05-19,WHWO,F,A,50_150,C,3,0,"WHWO CA to S before survey. WHWO female flew in after survey,",DU
EMMAOR_CLIFFC1-09_2017-05-19,WHWO,F,A,50_150,C,3,30,Female DET NE of pt CA. Flew in silently then back to NE,DU
EMMAOR_CLIFFC1-09_2017-05-19,WHWO,F,A,0_50,FL,0,50,Female DET NE of pt CA. Flew in silently then back to NE,DU
EMMAOR_CLIFFC2-03_2017-06-14,WHWO,M,A,50_150,C,3,12,WHWO heard a ways off to NE. Flew in silently visual at 43m Likely same bird as pt 4,DU
EMMAOR_CLIFFC2-03_2017-06-14,WHWO,M,V,0_50,C,1,15,WHWO heard a ways off to NE. Flew in silently visual at 43m Likely same bird as pt 4,DU
EMMAOR_CLIFFC2-04_2017-06-14,WHWO,M,V,50_150,C,3,0,"Heard first, quickly followed by visual 53m to W, flew in at 220 @ 20m",DU
EMMAOR_CLIFFC2-04_2017-06-14,WHWO,M,V,0_50,C,2,20,"Heard first, quickly followed by visual 53m to W, flew in at 220 @ 20m",DU
EMMAOR_CLIFFC2-05_2017-06-14,WHWO,F,V,0_50,C FL,3,27,Flew in 30m to W (WHWO). GRJA also in area. HAWO in area of irregular drumming to W (all after survey,DU
EMMAOR_CLIFFC2-06_2017-05-18,WHWO,M,A,50_150,C,3,50,Male WHWO flew in from 100m @ 20°,DU
EMMAOR_CLIFFC2-06_2017-05-18,WHWO,M,V,0_50,FL,3,30,Male WHWO flew in from 100m @ 20°,DU
EMMAOR_CLIFFC2-07_2017-05-18,WHWO,U,A,50_150,C,1,20,Came from pt. 6. Same pair,DU
EMMAOR_CLIFFC2-07_2017-05-18,WHWO,U,A,50_150,C,0,55,Came from pt. 6. Same pair,DU
EMMAOR_CLIFFC2-08_2017-05-18,WHWO,U,A,50_150,C,3,10,Came from 7. Same bird,DU
EMMAOR_CLIFFC2-10_2017-05-18,WHWO,F,A,50_150,C,0,7,WHWO CA to the SE,DU
EMMAOR_CLIFFC2-10_2017-06-14,WHWO,U,A,50_150,C,0,38,HAWO to NE. WHWO call >65m to E. When trying to confirm sex it took off further N. Male WISA also spotted after survey. Thin clouds ~ 30%,DU
EMMAOR_CUBT1-06_2017-06-05,WHWO,U,A,50_150,C,1,32,"Many drums ~ 100m WNW before survey. Call from WHWO during survey, came from same area. After survey had brief visual @ 29m to W. Sex still unk. Unable to relocate again due to thicket and 2 GRJAs flew in and disrupted the scene.",DU
EMMAOR_CUBT1-09_2017-06-23,WHWO,F,V,0_50,D,3,15,"Female WHWO flew (flew in fast, low and from the E)in to tree 5m from me, silent, perched, obs. The area; DR every once in a while",DU
EMMAOR_CUBT1-10_2017-06-23,WHWO,M,A,0_50,C,4,0,"Male WHWO in, CA about 40m away from pt. DR, CA, perching high in a snag and ""surveying"". This and the bird above are likely a pair, could hear  female reply in distance with DR directly after male at pt 10 DR.",DU
EMMAOR_DUGC1-01_2017-06-16,WHWO,U,A,50_150,C,1,35,Call heard W-SW of pt,DU
EMMAOR_DUGC1-04_2017-05-25,WHWO,U,A,50_150,D,4,7,Not sure if same bird DR; flew in from direction of drum-probably is same bird. Foraging @ 46° NE of pt. Suspect same female as yesterday.,DU
EMMAOR_DUGC1-04_2017-05-25,WHWO,F,V,50_150,F,1,32,Not sure if same bird DR; flew in from direction of drum-probably is same bird. Foraging @ 46° NE of pt. Suspect same female as yesterday.,DU
EMMAOR_DUGC1-05_2017-05-25,WHWO,M,V,0_50,F,3,27,Resurveying points completed after 11:00 yesterday. Second half of first visit. WHWO flew in silently and began foraging ~244° SxSW. Then flew S closer in to watch me. Most likely same bird as yesterday.,DU
EMMAOR_DUGC1-09_2017-05-23,WHWO,M,A,0_50,C,1,15,Confirm w/ visual @ 1:11 remaining. WHWO male fought with HAWO male onto Ponderosa 73m @ 92° from bearing tree. Could not find bearing tree with silver tag at pt 9. Used last year's flags.,DU
EMMAOR_ELKT1-05_2017-05-11,WHWO,U,A,50_150,C,2,51,1 bird (WHWO) calling to N of pt. called until end of survey,DU
EMMAOR_ELKT2-03_2017-05-31,WHWO,U,A,50_150,C,0,53,HAWO called w/in 40m @ 2:41. WHWO and HAWO calling w/in 50 after survey,DU
EMMAOR_ELKT2-06_2017-06-21,WHWO,F,V,0_50,FL,0,35,HAWO ~50m S calling and drumming. Additional distant drumming to S. Heard flapping ~20m S at 35sec. Confirmed WHWO after survey 34m SE of pt.,DU
EMMAOR_ELKT3-03_2017-06-13,WHWO,U,A,ovr_150,C,2,0,"Again, single WHWO rattle heard ~150m away from pt 3 in the SW direction. Could not find to sex. Likelu same WHWO heard at pt 4.",DU
EMMAOR_ELKT3-03_2017-06-13,WHWO,U,A,50_150,C,0,30,"Again, single WHWO rattle heard ~150m away from pt 3 in the SW direction. Could not find to sex. Likelu same WHWO heard at pt 4.",DU
EMMAOR_ELKT3-04_2017-06-13,WHWO,U,A,50_150,C,1,35,WHWO call heard w/in 100m of pt 4. and to the NW,DU
EMMAOR_FLAGC1-06_2017-06-19,WHWO,F,A,50_150,C,3,45,"WHWO call, then flew in 2 min later directly over point 6 and quickly towards the SE. PIWO and WISA called during",DU
EMMAOR_FLAGC1-06_2017-06-19,WHWO,F,A,0_50,C,1,45,"WHWO call, then flew in 2 min later directly over point 6 and quickly towards the SE. PIWO and WISA called during",DU
EMMAOR_FLAGC1-08_2017-05-25,WHWO,M,A,50_150,F,2,1,Male WHWO calling and foraging ~55m W of point. Possible another foraging as well.,DU
EMMAOR_FLAGC1-09_2017-05-25,WHWO,U,A,0_50,F,3,45,WHWO drumming before survey. Same WHWO foraging and drumming.,DU
EMMAOR_FLAGC1-10_2017-05-25,WHWO,U,A,50_150,D,1,0,Possibly same WHWO from last point,DU
EMMAOR_MDC1-02_2017-06-21,WHWO,M,V,0_50,P,1,15,"Raven circling me overhead during survey, CA. Male WHWO flew in silently, landed on tree 8m from pt. A few foraging pecks but nothing else.",DU
EMMAOR_MDC1-04_2017-06-21,WHWO,U,V,0_50,C,0,3,"WHWO flew high across sky further down slope from pt. Flew in a fast, straight line to the SW while calling",DU
EMMAOR_MDC2-04_2017-06-22,WHWO,U,A,0_50,C,0,10,Flying and calling. HAWO near where WHWO flew.,DU
EMMAOR_MDC2-05_2017-06-07,WHWO,F,V,0_50,F,3,20,Female WHWO flew into tree ~10m from pt. Perched on tree and observed me for  a few secs and then flew from tree to tree in general area foraging. Called once during each flight between trees,DU
EMMAOR_MDC2-08_2017-06-07,WHWO,U,A,0_50,C,0,23,"WHWO, sex unknown,  probably  flew in with ~ 1:30 remaining, but could not confirm until called with 23 sec remaining. Flew E ~ 30 sec after call. Did not slow/stop. WISA calling/DR throughout survey.",DU
EMMAOR_PAWT1-02_2017-06-26,WHWO,F,V,0_50,C,1,27,"WHWO flew in to tree ~ 10m from pt 2, CA, DR. Flew S after survey terminated. HAWO call nearby",DU
EMMAOR_PAWT1-03_2017-06-26,WHWO,F,A,50_150,C,4,15,"WHWO female flew in after CA from >150m away. DR, CA, P",DU
EMMAOR_PAWT1-03_2017-06-26,WHWO,F,A,0_50,C,2,0,"WHWO female flew in after CA from >150m away. DR, CA, P",DU
EMMAOR_FLAGC2-10_2017-06-16,WHWO,U,A,ovr_150,C,,,"0915 hrs. WHWO C heard to E of pt 10 ~150m as I approached pt. Same weather, high bird activity",TR
EMMAOR_PRONGC2-05_2017-05-24,WHWO,F,V,50_150,F,,,"WHWO female flew in  alone. Between pts 5 and 6, but closer to 5. Foraging quietly , near snag w/ cavity, in a N direction. Took coordinates. E 0352932 N 4887090",TR
EMMAOR_UPCA1-03_2017-06-27,WHWO,F,V,,C,,,"Heard Male, confirmed by visual. Moving from pt 3-4 CA turned into ACA and Female shortly after ACA also. Confident nest in tree. Gave coordinates to NSM to follow up on",TR
EMMAOR_WOLFC3-06_2017-06-20,WHWO,U,V,,C,,,0825hrs. WHWO seen and heard CA. Lost bird.,TR
EMMAOR_WOLFTA3-10_2017-06-12,WHWO,U,A,ovr_150,C,,,"Inbetween pts 9 and 10 heard WHWO C to the E >150m away. Northern Goshawk perched high, calling w/in 50m of me.",TR
EMMAOR_WOLFTB1-06_2017-05-22,WHWO,U,A,50_150,C,,,Btwn pts 5 and 6 near old nest heard 1 WHWO call. Old nest looked like fresh EXC @ 6,TR
EMFWOR_MUDT1-08_2017-05-26,WHWO,U,A,,C,,,"WHWO heard on approach, No A or V during survey. Lots of frog noises",TR
EMFWOR_LFTT2-01_2017-06-02,WHWO,F,V,,C D,,,"All PC stns have been thinned >5yrs ago. Heard fast, cont. drumming >500m from pt 1 en route from car . Lots of downed trees, some snags- a couple of excavations. Nuthatches, chickadees. Fairly open stand. Went back to drumming  heard on way to pt 1 after",TR
EMFWOR_LFTT2-01_2017-06-02,WHWO,M,V,,C,,,"All PC stns have been thinned >5yrs ago. Heard fast, cont. drumming >500m from pt 1 en route from car . Lots of downed trees, some snags- a couple of excavations. Nuthatches, chickadees. Fairly open stand. Went back to drumming  heard on way to pt 1 after",TR
EMFWOR_CAMC5-01_2017-06-21,WHWO,M,V,,C,,,"Female and Male WHWOs observed calling en route from point 2 prior to point count. In PIPO 50m west of known nest, 32m at 340° from pt tree. Wet meadow with POTR and tall PIPO snags present. HAWO present. Female WHWO reappeared to drum and call on tall PI",TR
EMFWOR_CAMC4-10_2017-06-22,WHWO,M,V,,F,,,"Chased male and female WHWO around <100m of pt 10 before survey-SMM following/looking for nest. Pretty open, lots of snags! 7:15 chatter calling to N <100m, foraging 6:10 <100m, cont. to hear drumming also in N. Grey Jays, juncos.",TR
EMFWOR_CAMC4-10_2017-06-22,WHWO,F,V,,F,,,"Chased male and female WHWO around <100m of pt 10 before survey-SMM following/looking for nest. Pretty open, lots of snags! 7:15 chatter calling to N <100m, foraging 6:10 <100m, cont. to hear drumming also in N. Grey Jays, juncos.",TR
EMPAID_L10_2017-05-10,WHWO,U,A,,C,,,Heard WHWO NE of pt 10 upon approach,TR
EMPAID_U01_2017-05-22,WHWO,M,A,,D,,,"Approx 2 min post survey, HAWO rattled 50m SE of pt. M WHWO obs w/in vicinity of B-U01A 2016 nest site, obs for >1 hr DR repeatedly w/no indication of nest site or mate",TR
EMPAID_LC05_2017-06-08,WHWO,U,A,,C,,,"Heard WHWO N of pt OA, before PC",TR
EMFWOR_CAMC1-09_2018-06-01,WHWO,U,A,ovr_150,C,,,"As walking to pt9 ~150m away heard call of WHWO + detected visually, sex unk; 6.39 rem heard fast/cont drumming >150m NE; 2.32 heard NOFL NE;  2.12 heard same dr but 50-150m NE.",TR
EMPAID_T09_2018-05-11,WHWO,U,V,0_50,FL,,,"WHWO flying and calling in between pts 8 and 9, flying N",TR
EMPAID_A02_2018-05-15,WHWO,M,V,0_50,FL,,,"after surveys ended - walking back between A1 and A2, saw M WHWO calling from atop PIPO ~30-50 M W of A2. Bird then flew ~100m W out of sight",TR
EMPAID_DL10_2018-05-23,WHWO,U,A,ovr_150,C,,,WHWO calling 150-175m SE between pts 10-9 before beginning walk to pt10,TR
EMPAID_A04_2019-06-13,WHWO,M,V,999,FL,,,Male near NCW-04A 2019 nest,TR
EMPAID_SF08_2019-06-27,WHWO,F,A,50_150,C,,,NE from 550703 4958302. Walking from 8 to 9.,TR
EMFWOR_BGCT1-08_2015-06-16,WHWO,M,V,0_50,P,1,57,M WHWO flew in from E to tree ~10m from pt. ct. stn w/ 1:57 rem. PE on limb during survey then started FOR on nearby snag; No F found.,DU
EMMAOR_PAWT1-08_2019-06-17,WHWO,F,V,0_50,F,,,Female WHWO detected foraging between 08 and 09 at 115m from point09,TR
EMMAOR_WOLFC1-03_2019-06-18,WHWO,F,A,999,C,,,Female aggitated calling located nest cavity between point 3 headed to 2,TR
EMMAOR_WOLFC2-05_2019-06-18,WHWO,U,A,999,C,,,"On the way to pt6 I heard a WHWO call, no visual. At ~157deg from utm 115 0370277, 4876950, w/in 150-200m",TR
EMMAOR_WOLFTB2-04_2019-06-26,WHWO,U,A,ovr_150,C D,,,"36m from pt5, ON WAY TO PT 5 FROM 6",TR
EMMAOR_WOLFTB3-08_2019-06-26,WHWO,F,V,0_50,FL,,,F WHWO flew low from pt8 to pt9 silent.,TR
EMMAOR_CUBT2-02_2019-06-27,WHWO,U,A,0_50,C,,,Calls from ~270deg,TR
