Visit_ID,Species,Sex,Detection,Distance_class,Behavior,Time_left_min,Time_left_sec,Comments,Period
TR601_04_2012-05-11,WHWO,M,A,0_50,F,2,6,"WHWO cone forage, HAWO excavating in aspen",DU
TR601_04_2013-06-13,WHWO,F,V,0_50,D,1,30,Top of snag at 320 deg.,DU
TR601_05_2012-05-11,WHWO,M,A,0_50,D,0,15,"WISA<150m.,",DU
TR601_05_2012-06-22,WHWO,U,V,0_50,D FL,2,30,"Male flew in with mouthfull of food, nice potential nest cavity. Flew back towards point 4 drumming.",DU
TR601_05_2013-06-13,WHWO,F,A,0_50,D,1,45,,DU
TR601_05_2015-05-08,WHWO,M,V,50_150,P,2,40,"1st detection, flew to perch",DU
TR601_05_2015-05-08,WHWO,U,A,ovr_150,C,1,20,Probable mate of 1st detection,DU
TR601_05_2015-05-08,WHWO,M,V,0_50,P,0,32,"2nd detection, flew in closer",DU
TR601_06_2011-06-03,WHWO,P,A,0_50,C D F,999,999,,DU
TR601_06_2013-05-05,WHWO,M,V,0_50,FL,2,30,"Male approached from E. perched, drummed, quietly at 37 m. Flew to point tree and foraged.",DU
TR601_06_2014-05-13,WHWO,U,A,0_50,C,2,10,,DU
TR601_06_2014-05-13,WHWO,P,A,50_150,C,3,10,74m. @ 107 degrees. Pair inspected cavity on large PIPO snag. WISA interaction.,DU
TR601_06_2014-05-13,WHWO,P,V,,999,,,"WHWO pair at Deep Creek campsite near pt. 6 @ 0530.
Transect: WHWO, PAWR, TOSO, CAHU, RBNU, DEJU, RCKI, DUFL, WISA, WAVI, WETA, YRWA, SOSP, AMRO, HUVI, RUGR, BHCO, HAFL, TOWA, CHSP, SPTO, CAFI. Mammals: red squirrel, columbia ground squirrel, black bear.",TR
TR601_06_2014-06-14,WHWO,M,V,0_50,D,2,32,"Flew in from direction of pt. 5, followed it as it foraged from tree to tree for about 25 min, then it flew far off towards pt. 5, chased off a HAWO a couple of times.",DU
TR601_08_2011-05-06,WHWO,M,V,0_50,F,999,999,,DU
TR601_08_2012-05-11,WHWO,P,A,0_50,F,1,37,"WHWO feeding on sapwells, HAWO",DU
TR601_08_2012-06-22,WHWO,P,V,ovr_150,C D,2,15,Calling at 230 deg. Female. Located nest via male.,DU
TR601_08_2014-05-13,WHWO,P,V,50_150,FL P,0,2,80 meters @ 214 degrees,DU
TR601_09_2011-05-06,WHWO,M,A,ovr_50,C,999,999,,DU
TR601_09_2011-06-03,WHWO,F,V,ovr_50,C FL,999,999,,DU
TR602_03_2011-05-23,WHWO,U,A,ovr_50,C,999,999,,DU
TR602_03_2011-06-09,WHWO,M,V,0_50,P,999,999,,DU
TR602_03_2012-05-08,WHWO,M,A,50_150,C D,2,41,"WHWO to SSW. Returned after survey, located 1M & 2F foraging together, E672828 N5298956",DU
TR602_03_2014-05-01,WHWO,P,A,50_150,C F,4,29,Detected before playback @ 100m. Same Pair as point 6. Began playback and male immediately flew to 0_50m.,DU
TR602_03_2014-05-01,WHWO,U,V,,F,,,"1145 detected WHWO SW of pt. 3 foraging, lost.",TR
