ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
LKV-0406,54.8254623,54.5027885,54.4147835,54.2974472,54.2974472,55.500145,55.7348213,55.2654724,53.9747734,52.8307419,51.8040466,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0407,24.2006454,24.024641,23.7899685,23.3792896,23.2326202,22.9686127,22.645937,22.4992676,22.23526,22.1472569,21.8245811,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0408,11.1762981,10.9416246,10.8829565,10.7362862,10.5016136,10.0029335,9.9149313,9.8855972,9.797595,9.9149313,13.2590199,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0409,7.3041949,7.0401878,7.0108538,6.8641829,6.6295099,6.5415077,6.5708418,6.5708418,6.4828396,6.6001759,10.8829565,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0410,3.4907598,3.4320915,3.4027574,3.3734233,3.3440893,3.4614255,3.5200939,3.5200939,3.4907598,3.2854209,4.5174537,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0411,1.6720446,1.6720446,1.6720446,1.6720446,1.7013787,1.7013787,1.7307128,1.7307128,1.7013787,1.5840422,1.789381,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0412,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0413,0.6746846,0.6746846,0.6746846,0.6746846,0.6160164,0.6453505,0.6453505,0.6453505,0.6453505,0.6453505,0.6453505,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0414,3.8134351,3.8721032,3.8427691,3.8134351,3.8427691,3.9307716,3.9014373,3.9014373,3.784101,3.8134351,4.2827806,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0415,21.7072449,21.6779118,21.5312405,21.3552361,21.1205635,21.2085648,20.9445591,20.5045471,20.1525383,20.1525383,21.795248,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0416,47.0225868,46.7879143,46.3479042,46.1425629,45.5852165,45.6438828,45.1452026,44.41185,43.7958336,43.4731598,48.899971,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0417,34.4089165,33.851570100000004,33.7048988,33.6755638,33.35289,33.5582275,33.1182175,32.7955399,32.7075386,32.2675285,44.7638588,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0418,15.6350832,15.2537403,15.0190668,14.9017305,14.7550602,14.7257261,14.4030504,14.2857141,14.0803757,14.1683779,26.1660309,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0419,26.4887066,26.3713703,25.8433552,25.5500145,25.3153419,25.3740101,24.7286587,24.2006454,23.7606335,24.8459949,36.7263145,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0420,50.8360214,50.8946915,50.7480202,50.4840126,50.1613388,50.220005,49.779995,49.1933136,48.3132896,49.0759735,64.417717,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0421,52.3320618,52.4787331,51.3053665,49.9853325,48.1079483,48.2546196,47.6679382,47.4039307,45.7025528,45.2625389,75.1246719,0,0,0,0,0,0,0,0.7333529,0.7333529,0.7333529,0.7333529,0.7333529,0.7333529
LKV-0422,47.1985931,46.4065704,44.1185112,40.891758,37.9876785,38.9557037,39.1317101,37.8996773,36.0809631,34.8782616,61.4843063,0,0,0,0,0,0,0,1.8480493,1.8480493,1.8480493,1.8480493,1.8480493,1.8480493
LKV-0423,44.2065125,43.0331459,41.0090942,39.2490463,37.0783234,37.723671,38.3103561,36.462307,34.7022591,32.5608673,41.6544456,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0424,31.1528301,29.7154598,26.8700504,25.6966858,23.6139622,23.115284,22.3819294,21.8832493,20.1525383,18.6858311,36.9903183,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0425,41.0090942,40.1877365,38.4570236,37.1369896,35.7582855,35.7289543,34.6142578,33.7929001,32.7955399,32.032856,67.4097977,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0426,49.7506599,50.2786751,49.8386612,48.9586372,48.1666183,47.550602,47.4626007,45.9078903,44.5878563,42.0651207,73.9513016,0,0,0,0,0,0,0,0,0,0,0,0,0
