ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
PAY-0670,23.4086246,24.024641,24.1419773,24.2299786,24.4939861,28.2780876,28.2780876,29.0114403,28.7474327,28.4247589,28.5127602,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0671,36.6676445,37.1369896,37.9583473,37.8410072,38.2810211,41.4784393,41.8597832,41.9771194,41.5664406,41.7131119,41.2144318,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0672,45.7318878,47.2279243,49.0173073,49.0759735,49.8679962,52.5080681,52.5080681,53.4467583,57.817543,57.8468742,57.788208,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0673,34.1155777,35.523613,36.7263145,36.7849808,37.2249908,39.1317101,39.6597252,43.6491623,64.7110596,65.8550873,67.5564651,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0674,17.5711346,18.0404816,18.7151661,18.9498386,19.2431793,20.7098846,21.6779118,24.3766499,40.0997353,40.891758,42.4757996,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0675,6.7468467,6.8641829,7.1575241,7.12819,7.0695219,5.3094749,5.3974771,6.4828396,10.0909357,10.3842773,10.9122906,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0676,7.7442064,7.8028746,7.7442064,7.6268702,7.3921971,6.3655033,6.3068347,6.3655033,6.3068347,6.3948374,6.3948374,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0677,16.8671169,16.3684368,16.0750961,15.5764151,15.4297447,15.1950722,15.0484009,14.6083899,14.3443823,14.1097097,14.0803757,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0678,26.1660309,25.8140221,25.3153419,24.6993256,24.5526543,23.9659729,23.9366379,23.8193016,24.6993256,24.024641,24.2299786,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0679,25.3153419,25.6673508,25.5793495,25.2273388,25.2860069,25.5793495,25.8433552,26.0193596,27.104723,26.8993835,27.2513943,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0680,14.7550602,14.4910526,14.2857141,13.9630394,13.8750362,14.7843943,14.7257261,14.6963921,14.5790558,14.4030504,14.1683779,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0681,10.7949543,10.7656202,10.648284,10.3549423,10.3842773,12.2029924,12.1443243,12.2323265,12.1149893,11.8803167,11.9389849,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0682,9.2109127,9.357583,9.328249,9.2402468,9.2695808,10.7069521,10.7362862,10.7069521,10.6189499,10.5016136,10.4429455,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0683,10.208272,9.7095919,9.5335875,9.357583,9.328249,12.6430035,12.7016716,12.7896748,12.5550013,12.2029924,12.2909946,0,0,0,0,0,1.9360516,1.9360516,1.9360516,1.9360516,1.9360516,1.9360516,1.9360516,1.9360516
PAY-0684,12.3203287,12.0856552,12.5843353,12.5843353,12.8483429,17.8938103,18.3338223,18.656498,18.7738342,18.3044872,18.9791737,0,0,0,0,0,0.7040188,0.7040188,0.7040188,0.7040188,0.7040188,0.7040188,0.7040188,0.7040188
PAY-0685,12.0856552,11.8509827,12.3203287,12.3203287,12.4083309,14.8723965,15.10707,15.1950722,15.1950722,15.0190668,15.1657381,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0686,10.237606,10.237606,10.3256083,10.4136114,10.5896158,14.0510416,14.3150482,14.0803757,14.0217075,14.1977119,14.2857141,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0687,13.0830154,13.0536814,13.1123495,13.0536814,13.0830154,16.7791138,17.1311226,16.7204456,16.4564381,16.6324444,16.4857731,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0688,9.7389259,9.5922556,9.5042534,8.9762392,8.6242304,9.5042534,9.3869171,9.0935755,8.8002348,8.5948963,8.5948963,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0689,8.9469051,8.9175711,9.1229095,8.5362272,8.1548843,9.2989149,9.2109127,9.0935755,8.8295689,8.6535645,8.5655613,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0690,20.885891,20.8272228,21.0618954,20.3285427,20.416544,24.0833092,24.2006454,23.8193016,23.8486366,23.9366379,23.4672928,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0691,39.5717201,39.5423889,39.8943977,39.5717201,39.102375,42.6224709,42.5051346,41.7717819,41.5957756,41.7424469,40.9504242,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0692,44.5291862,43.9131699,43.7958336,43.121151,42.6224709,43.0038147,42.3291283,41.4197693,40.5104141,39.7183914,38.2223511,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0693,44.7931938,44.9985352,45.1745377,44.8225288,44.7345276,45.7318878,45.2918739,45.0278664,44.2651787,43.7958336,43.0331459,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0694,29.9207973,29.8914642,30.0088005,29.4514523,29.304781,30.3021412,29.9794655,29.9794655,29.5687885,29.6274567,29.1874447,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0695,32.6782036,32.3848648,32.3555298,32.003521,31.6221771,31.7101784,31.2408333,30.5368137,30.0381336,29.4807854,28.5714283,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0696,53.1827507,53.0654144,53.300087,53.358757,53.329422,54.7374611,54.0041084,53.388092,52.5080681,51.6867104,50.2786751,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0697,30.7714882,31.9448509,33.0008812,33.7048988,34.8782616,41.302433,41.3904381,41.7717819,41.7717819,41.7717819,41.5077744,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0698,31.534174,32.6488724,33.1475525,33.5582275,34.4382515,37.8410072,38.1343498,38.0756836,38.2810211,38.2223511,38.2223511,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0699,28.2194195,28.454092,28.2780876,27.8380756,27.6034031,27.6327362,27.1633911,26.7233791,26.224699,25.6966858,25.1393375,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0700,27.7500725,27.3687305,26.3127022,25.5206814,24.2593136,23.7606335,22.7632732,22.0592556,21.1498966,20.3578758,19.59519,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0701,12.2616606,12.4669991,12.1443243,11.4989729,11.2349663,12.3789968,11.7336464,11.7043123,11.4989729,11.3229685,11.0882959,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0702,5.2508068,5.4561453,5.544148,5.4268112,5.3681431,6.4241714,6.1894984,6.4828396,6.8055148,6.893517,6.7761807,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0703,12.7016716,13.2003517,12.907011,12.7603407,12.525667199999999,16.8671169,17.0724545,16.89645,17.1897926,17.0431213,17.1897926,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0704,33.382225,34.8489304,34.643589,34.4969215,34.5849228,40.4517441,41.3904381,41.4491043,41.4784393,41.331768,41.5371094,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0705,27.3100624,28.1020832,27.9554119,28.1020832,28.2194195,30.0088005,30.3901443,30.3314762,30.2728081,30.3608093,30.0381336,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0706,14.1097097,14.1683779,14.1683779,14.1683779,14.4030504,14.2857141,14.3443823,14.4910526,14.3150482,14.227046,13.9043703,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0707,22.4699326,23.4672928,24.3179817,24.87533,25.4033432,25.4913464,25.9020233,25.9900265,25.9313583,26.1660309,26.0486946,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0708,20.885891,22.9686127,24.435318,25.4326782,26.3713703,28.9234371,29.5981236,29.5687885,29.7154598,29.8621292,30.7128181,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0709,41.0677605,39.3370476,38.7503662,37.4889984,36.1396294,34.4089165,32.7368736,31.2114983,29.9501324,28.2487526,26.7527142,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0710,40.1584053,38.6917,38.1636848,37.782341,37.0196533,37.5183334,36.8436508,35.9049568,35.582283,34.7022591,34.2622452,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0711,38.1930199,37.4596672,37.1663246,36.7556458,35.9636269,35.6702843,35.4062767,34.5262527,34.232914,33.0888824,32.3848648,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0712,16.89645,16.3684368,16.3097687,15.9577589,15.6350832,15.4590788,15.1657381,14.9017305,14.667058,13.7283659,13.3176889,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0713,13.1416836,12.9950132,13.0830154,13.2883539,13.4643593,15.5764151,15.7230864,18.5978298,18.6858311,18.4804935,18.5684948,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0714,17.9818134,17.9524784,17.776474,17.6884708,18.0991497,20.5925484,20.9152241,23.6139622,23.7899685,23.4966259,23.7313004,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0715,5.2214727,5.1921387,5.2214727,5.2214727,5.1628041,7.1575241,7.3628631,7.8322086,7.6855383,7.3628631,7.1868582,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0716,15.9284248,15.9577589,15.987093,15.8404226,16.016428,19.5071869,19.6245232,19.7711945,19.5071869,19.1551781,19.2138462,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0717,32.3848648,32.3555298,32.3848648,32.2088585,32.443531,37.811676,38.1050148,38.0170135,38.0170135,37.723671,37.4889984,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0718,47.1399231,47.1399231,47.6386032,47.1692581,47.3159294,49.4279861,49.6039886,50.0440025,51.7453804,51.6867104,51.7747154,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0719,43.8251686,43.6198311,44.2358475,44.0305061,44.2945137,45.1158714,45.8198891,48.5772972,61.0736275,62.0416527,63.537693,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0720,24.3766499,24.6993256,25.6086826,25.9606915,26.224699,28.4247589,29.5687885,32.443531,46.5532417,47.7852745,49.6626587,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0721,8.3015547,8.418891,8.7709007,8.9469051,8.9762392,9.7389259,10.208272,11.8216486,17.6884708,18.4511585,19.4191837,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0722,11.7336464,11.6163101,11.4989729,11.2056322,11.0002937,10.3842773,10.0029335,10.1789379,10.4136114,10.3549423,10.5309477,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0723,19.8885307,19.5365219,19.5071869,19.0965099,19.0671749,19.3018475,19.2138462,19.2138462,19.0671749,18.8031673,18.8618355,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0724,28.01408,27.7500725,27.6327362,27.3687305,27.2220592,26.9580517,26.9580517,27.0167198,26.9580517,26.7527142,26.8700504,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0725,30.1848049,30.5661488,30.2728081,29.8034611,29.8327961,30.0088005,30.0381336,29.9501324,29.8621292,29.8327961,30.0088005,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0726,18.5978298,19.8885307,20.005867,20.2112064,22.9979458,23.3499565,23.5846291,23.115284,22.8806095,22.5872688,22.2645931,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0727,16.7791138,17.336462,17.7178059,17.9524784,20.0938683,21.765913,22.0005875,21.8539162,21.6779118,21.5312405,21.2965679,0,0,0,0,0,0,0,0,0,0,0,0,0
