ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
MAL-0370,15.3417425,14.7843943,14.1097097,14.2563801,14.2857141,15.6057491,15.987093,15.4884129,15.4590788,14.9017305,15.1657381,19.2138462,19.2138462,19.2138462,19.2138462,19.2138462,19.2138462,19.2138462,19.2138462,19.2138462,19.2138462,19.2138462,36.2276344,36.2276344
MAL-0371,19.3018475,18.9498386,18.4218254,18.2751541,18.5978298,20.1525383,20.2698746,19.976532,20.0938683,19.3605156,19.7711945,18.6271629,18.6271629,18.6271629,18.6271629,18.6271629,18.6271629,18.6271629,18.6271629,18.6271629,18.6271629,18.6271629,31.094162,31.094162
MAL-0372,24.5526543,24.464653,24.6113224,24.4939861,25.1100025,26.7233791,27.104723,26.664711,26.4300385,26.1366978,26.6060429,5.6028161,5.6028161,5.6028161,5.6028161,5.6028161,5.6028161,5.6028161,5.6028161,5.6028161,5.6028161,5.6028161,7.568202,7.568202
MAL-0373,22.7632732,23.1446171,23.4379578,23.7899685,24.9633331,28.2194195,28.7474327,29.0994434,28.9821053,28.7474327,29.4807854,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0374,16.016428,16.8084488,17.4537983,17.5711346,18.8618355,22.23526,23.5259609,24.2593136,24.3179817,24.8166618,25.9020233,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0375,24.3473167,25.1393375,25.7260189,25.6966858,27.2220592,30.0674686,32.1501923,32.7955399,33.0595474,33.9395714,33.7635689,0,0,0,0,0,0,10.1789379,10.1789379,10.1789379,10.1789379,10.1789379,10.1789379,10.1789379
MAL-0376,39.7183914,40.5690804,40.921093,40.8037529,43.9718399,45.9665604,46.9052505,46.4359055,45.790554,45.0278664,44.0598412,0,0,0,0,5.338809,5.338809,16.6324444,16.6324444,16.6324444,16.6324444,16.6324444,16.6324444,16.6324444
MAL-0377,39.7770615,40.0997353,40.3344078,40.8330879,48.5186272,49.80933,49.3106499,48.841301,48.6652985,47.550602,46.9345856,0,0,0,0,22.0005875,22.0005875,22.5579357,22.5579357,22.5579357,22.5579357,22.5579357,22.5579357,22.5579357
MAL-0378,29.7447929,29.9794655,30.0088005,30.683485,41.8891182,44.441185,44.5291862,44.2065125,44.1185112,43.561161,43.121151,0,0,0,0,32.1501923,32.1501923,32.1501923,32.1501923,32.1501923,32.1501923,32.1501923,32.1501923,32.1501923
MAL-0379,19.2138462,18.7444992,18.0111465,17.336462,24.7286587,32.3261948,33.5875626,33.6462288,33.2062187,32.8835449,32.414196,0,0,0,0,16.5737762,20.3872108,23.3206215,24.3179817,24.3179817,24.3179817,24.3179817,24.3179817,24.3179817
MAL-0380,29.9501324,28.7474327,27.5153999,26.3420353,29.4807854,37.0489883,37.6356697,40.2170715,39.2197113,38.7210312,38.4276924,0,0,0,0,4.4587855,4.4587855,7.3921971,15.10707,15.10707,15.10707,15.10707,15.10707,15.10707
MAL-0381,43.8251686,41.7717819,40.3637428,38.662365,38.1636848,42.0064545,41.4197693,40.8330879,40.2170715,39.982399,39.8063965,0,0,0,0,2.0827222,2.0827222,2.0827222,2.0827222,2.0827222,2.0827222,2.0827222,2.0827222,2.0827222
MAL-0382,44.1771774,43.2091522,42.3291283,41.3611031,41.331768,45.2038727,45.2625389,44.7051926,44.499855,44.499855,44.8518639,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0383,40.0997353,39.9237328,40.0997353,39.6890602,40.0997353,44.7638588,45.8492241,48.0199471,48.2252846,47.9612808,48.6946335,0,0,0,0,0,0,0,10.8536224,11.8216486,11.8216486,11.8216486,17.336462,17.336462
MAL-0384,25.3740101,25.0220013,25.3740101,25.051334399999998,25.9020233,29.9794655,35.552948,41.2731018,42.6811371,42.7691422,44.3238487,0,0,0,0,0,0,9.6802578,30.4781456,31.4461727,31.4461727,31.4461727,42.270462,42.270462
MAL-0385,29.8327961,29.2754478,28.9527721,28.5127602,28.6594315,29.6861248,33.2062187,37.9876785,38.5450287,38.5156937,39.5130539,0,0,0,0,0,0,4.2827806,20.2992077,20.2992077,20.2992077,20.2992077,24.1419773,24.1419773
MAL-0386,27.9847469,27.6034031,27.3393955,26.8993835,27.4860668,27.7794075,28.0727482,28.5127602,30.0088005,30.0088005,30.7714882,0,0,0,0,0,0,0,1.4373716,5.6321502,5.6321502,5.6321502,9.5335875,16.4564381
MAL-0387,30.5661488,30.2434731,30.1848049,30.1554699,30.5954819,32.7368736,33.7342339,34.8489304,40.5397491,41.0384293,42.0944557,7.3921971,7.3921971,7.3921971,7.3921971,7.3921971,7.3921971,7.3921971,8.9175711,19.565855,19.565855,19.565855,23.8779697,30.8008213
MAL-0388,31.7981815,32.4728661,32.6195374,32.8835449,33.2648888,34.8489304,36.3156357,36.3743019,43.1504822,43.8838387,44.441185,17.3071289,17.3071289,17.3071289,17.3071289,17.3071289,17.3071289,17.3071289,17.3071289,32.9128761,32.9128761,32.9128761,32.9128761,32.9128761
MAL-0389,27.1340561,28.5714283,28.7474327,28.7474327,29.0994434,29.4807854,29.774128,29.0114403,29.6567917,29.7447929,29.5687885,24.5233212,24.5233212,24.5233212,24.5233212,24.5233212,24.5233212,24.5233212,24.5233212,25.2566738,25.2566738,25.2566738,25.2566738,25.2566738
MAL-0390,20.1232033,19.7711945,19.0085068,18.0111465,17.7178059,17.805809,17.4537983,16.89645,16.4857731,16.3097687,15.8404226,19.8005276,19.8005276,19.8005276,19.8005276,19.8005276,19.8005276,19.8005276,19.8005276,19.8005276,19.8005276,19.8005276,19.8005276,19.8005276
MAL-0391,13.2590199,12.3789968,11.6749783,10.9122906,10.3842773,10.0029335,9.1815786,8.7122326,8.3602228,7.9202113,7.5095334,4.018774,4.018774,4.018774,4.018774,4.018774,4.018774,4.018774,4.018774,4.018774,4.018774,4.018774,4.018774,4.018774
MAL-0392,23.0566139,21.8832493,20.9152241,20.0938683,19.1845112,18.5684948,17.776474,17.0137863,16.4564381,16.1924324,15.7230864,0,1.5253741,1.5253741,1.5253741,1.5253741,1.5253741,1.5253741,1.5253741,1.5253741,1.5253741,1.5253741,1.5253741,1.5253741
MAL-0393,24.2886486,23.4086246,22.3525963,21.3845711,21.2085648,22.675272,23.1739521,22.9099445,22.4992676,22.0592556,24.8166618,0,0,0,0,0,0,0,0,0,0,0,17.805809,29.9501324
