"","Point_ID","Transect_ID","Year","Trt_150","Tave_wt","Tave_sp","PPT_wt","PPT_sp","Trees_2550","PIPO_2550","Trees_50","PIPO_50","pPIPO","YR_Treated","period","Ha","Bu","SHDI","no_canopy","low_canopy","med_canopy","high_canopy","high","low"
"11","EMFWOR_BGCT1-02","EMFWOR_BGCT1",2012,"U",-1.7,4.6,123,201,100,100,57.5,57.5,1,2019,"pre",0,0,0,0.0293341,29.6861248,56.3801689,1.7013787,58.0815476,29.7154589
"12","EMFWOR_BGCT1-02","EMFWOR_BGCT1",2013,"U",-3,5,174,124,100,100,57.5,57.5,1,2019,"pre",0,0,0,0.0293341,29.7447929,56.3801689,1.6427104,58.0228793,29.774127
"13","EMFWOR_BGCT1-02","EMFWOR_BGCT1",2014,"U",-0.7,5.5,154,145,100,100,57.5,57.5,1,2019,"pre",0,0,0,0.0293341,29.4807854,56.5855103,1.7013787,58.286889,29.5101195
"14","EMFWOR_BGCT1-02","EMFWOR_BGCT1",2015,"U",1.5,6,176,215,100,100,57.5,57.5,1,2019,"pre",0,0,0,0.0293341,29.5687885,56.468174,1.7307128,58.1988868,29.5981226
"15","EMFWOR_BGCT1-02","EMFWOR_BGCT1",2016,"U",-1.1,5.8,285,179,25,25,60,60,1,2019,"post",0,0,0,0.0880023,31.6515102,52.3027267,3.7547667,56.0574934,31.7395125
"16","EMFWOR_BGCT1-02","EMFWOR_BGCT1",2017,"U",-3.5,5.1,349,146,25,25,60,60,1,2019,"post",0,0,0,0.0880023,32.3261948,52.2733955,3.1094162,55.3828117,32.4141971
"17","EMFWOR_BGCT1-02","EMFWOR_BGCT1",2018,"U",-0.7,4.8,96,208,25,25,60,60,1,2019,"post",0,0,0,0.0880023,33.29422,52.1853905,2.2293928,54.4147833,33.3822223
"18","EMFWOR_BGCT1-02","EMFWOR_BGCT1",2019,"H",-2.7,4.5,256,239,25,25,60,60,1,2019,"post",13.5523996,0,0,0.1760047,40.3637428,45.4092102,1.8480493,47.2572595,40.5397475
"19","EMFWOR_BGCT1-02","EMFWOR_BGCT1",2020,"H",-1,4.9,176,132,25,25,60,60,1,2019,"post",27.7793999,0,0.69049,0.3520094,41.331768,44.6758575,1.4373716,46.1132291,41.6837774
"20","EMFWOR_BGCT1-02","EMFWOR_BGCT1",2021,"HB",-1.5,4.9,145,88,25,25,60,60,1,2019,"post",27.7793999,27.7793999,0.69049,0.4400117,41.6544456,44.41185,1.290701,45.702551,42.0944573
"21","EMFWOR_BGCT1-03","EMFWOR_BGCT1",2012,"U",-1.7,4.6,123,201,150,75,32.5,27.5,0.645161290322581,2020,"pre",0,0,0,0.0293341,32.1501923,53.0067482,2.2587268,55.265475,32.1795264
"22","EMFWOR_BGCT1-03","EMFWOR_BGCT1",2013,"U",-3,5,174,124,150,75,32.5,27.5,0.645161290322581,2020,"pre",0,0,0,0.0293341,32.0621872,53.1240845,2.2293928,55.3534773,32.0915213
