"","POINT_ID","Ha211_1000","Ha212_1000","Ha213_1000","Ha214_1000","Ha215_1000","Ha216_1000","Ha217_1000","Ha218_1000","Ha219_1000","Ha220_1000","Ha221_1000","Bu211_1000","Bu212_1000","Bu213_1000","Bu214_1000","Bu215_1000","Bu216_1000","Bu217_1000","Bu218_1000","Bu219_1000","Bu220_1000","Bu221_1000","X1shdi211","X1shdi212","X1shdi213","X1shdi214","X1shdi215","X1shdi216","X1shdi217","X1shdi218","X1shdi219","X1shdi220","X1shdi221"
"246","EMFWOR_SWRC2-04",0,0,0,0,0,31.3288002,31.6515007,31.6515007,31.6515007,31.6515007,31.6515007,0,0,0,0,0,0,31.3288002,31.3288002,31.3288002,31.3288002,31.3288002,0,0,0,0,0,0,0.056894,0.056894,0.056894,0.056894,0.056894
"247","EMFWOR_SWRC2-05",0,0,0,0,0,21.9713001,22.2938995,22.2938995,22.2938995,22.2938995,22.2938995,0,0,0,0,0,0,21.9713001,21.9713001,21.9713001,21.9713001,21.9713001,0,0,0,0,0,0,0.0756706,0.0756706,0.0756706,0.0756706,0.0756706
"248","EMFWOR_SWRC2-06",0,0,0,0,0,21.5606003,21.8831997,21.8831997,21.8831997,21.8831997,21.8831997,0,0,0,0,0,0,21.5606003,21.5606003,21.5606003,21.5606003,21.5606003,0,0,0,0,0,0,0.0768145,0.0768145,0.0768145,0.0768145,0.0768145
"249","EMFWOR_SWRC2-07",0,0,0,0,0,18.9498005,19.2724991,19.2724991,19.2724991,19.2724991,19.2724991,0,0,0,0,0,0,18.9498005,18.9498005,18.9498005,18.9498005,18.9498005,0,0,0,0,0,0,0.0850762,0.0850762,0.0850762,0.0850762,0.0850762
"250","EMFWOR_SWRC2-08",0,0,0,0,0,13.5229998,13.8457003,13.8457003,13.8457003,13.8457003,13.8457003,0,0,0,0,0,0,13.5229998,13.5229998,13.5229998,13.5229998,13.5229998,0,0,0,0,0,0,0.110637,0.110637,0.110637,0.110637,0.110637
"251","EMFWOR_SWRC2-09",0,0,0,0,0,3.72543,4.04811,4.04811,4.04811,4.04811,4.04811,0,0,0,0,0,0,3.72543,3.72543,3.72543,3.72543,3.72543,0,0,0,0,0,0,0.278061,0.278061,0.278061,0.278061,0.278061
"252","EMFWOR_SWRC2-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880023,0.0880023,0.0880023,0.0880023,0.0880023,0.0880023,0,0,0,0,0,0,0,0,0,0,0
"253","EMFWOR_SWRC3-01",0,0,0,0,0,0,0,6.2188301,6.2188301,6.2188301,6.2188301,0,0,0,0,0,0,0,0,0,6.2188301,6.2188301,0,0,0,0,0,0,0,0,0,0,0
"254","EMFWOR_SWRC3-02",0,0,0,0,0,0,0,6.2188301,6.2188301,6.2188301,6.2188301,0,0,0,0,0,0,0,0,0,6.2188301,6.2188301,0,0,0,0,0,0,0,0,0,0,0
"255","EMFWOR_SWRC3-03",0,0,0,0,0,0,0,6.2188301,6.2188301,6.2188301,6.2188301,0,0,0,0,0,0,0,0,0,6.2188301,6.2188301,0,0,0,0,0,0,0,0,0,0,0
"256","EMFWOR_SWRC3-04",0,0,0,0,0,0,0,2.5227301,2.5227301,2.5227301,2.5227301,0,0,0,0,0,0,0,0,0,2.5227301,2.5227301,0,0,0,0,0,0,0,0,0,0,0
"257","EMFWOR_SWRC3-05",0,0,0,0,0,0,0,0.234673,0.234673,0.234673,0.234673,0,0,0,0,0,0,0,0,0,0.234673,0.234673,0,0,0,0,0,0,0,0,0,0,0
"258","EMFWOR_SWRC3-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"259","EMFWOR_SWRC3-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260","EMFWOR_SWRC3-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261","EMFWOR_SWRC3-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262","EMFWOR_SWRC1-04",0,0,0,0,0,0,2.5227301,2.5227301,2.5227301,2.5227301,2.5227301,0,0,0,0,0,0,2.5227301,2.5227301,2.5227301,2.5227301,2.5227301,0,0,0,0,0,0,0,0,0,0,0
"263","EMFWOR_SWRC1-05",0,0,0,0,0,0,6.7761798,6.7761798,6.7761798,6.7761798,6.7761798,0,0,0,0,0,0,6.7761798,6.7761798,6.7761798,6.7761798,6.7761798,0,0,0,0,0,0,0,0,0,0,0
"264","EMFWOR_SWRC1-06",0,0,0,0,0,0,10.8830004,10.8830004,10.8830004,10.8830004,10.8830004,0,0,0,0,0,0,10.8830004,10.8830004,10.8830004,10.8830004,10.8830004,0,0,0,0,0,0,0,0,0,0,0
"265","EMFWOR_SWRC1-07",0,0,0,0,0,0,10.9415998,10.9415998,10.9415998,10.9415998,10.9415998,0,0,0,0,0,0,10.9415998,10.9415998,10.9415998,10.9415998,10.9415998,0,0,0,0,0,0,0,0,0,0,0
"266","EMFWOR_SWRC2-01",0,0,0,0,0,43.0331001,43.0331001,43.0331001,43.0331001,43.0331001,43.0331001,0,0,0,0,0,0,43.0331001,43.0331001,43.0331001,43.0331001,43.0331001,0,0,0,0,0,0,0,0,0,0,0
"267","EMFWOR_SWRC2-02",0,0,0,0,0,38.9263992,38.9263992,38.9263992,38.9263992,38.9263992,38.9263992,0,0,0,0,0,0,38.9263992,38.9263992,38.9263992,38.9263992,38.9263992,0,0,0,0,0,0,0,0,0,0,0
"268","EMFWOR_SWRC1-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"269","EMFWOR_SWRC1-02",0,0,0,0,0,0,0.322675,0.322675,0.322675,0.322675,0.322675,0,0,0,0,0,0,0.322675,0.322675,0.322675,0.322675,0.322675,0,0,0,0,0,0,0,0,0,0,0
"270","EMFWOR_SWRC1-03",0,0,0,0,0,0,1.34937,1.34937,1.34937,1.34937,1.34937,0,0,0,0,0,0,1.34937,1.34937,1.34937,1.34937,1.34937,0,0,0,0,0,0,0,0,0,0,0
