"","POINT_ID","Ha211_1000","Ha212_1000","Ha213_1000","Ha214_1000","Ha215_1000","Ha216_1000","Ha217_1000","Ha218_1000","Ha219_1000","Ha220_1000","Ha221_1000","Bu211_1000","Bu212_1000","Bu213_1000","Bu214_1000","Bu215_1000","Bu216_1000","Bu217_1000","Bu218_1000","Bu219_1000","Bu220_1000","Bu221_1000","X1shdi211","X1shdi212","X1shdi213","X1shdi214","X1shdi215","X1shdi216","X1shdi217","X1shdi218","X1shdi219","X1shdi220","X1shdi221"
"1","EMPAID_BR10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","EMPAID_BR08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","EMPAID_BR09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","EMPAID_CU01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","EMPAID_CU10",0.762687,35.6996002,35.6996002,35.6996002,35.6996002,35.6996002,35.6996002,35.6996002,35.6996002,35.6996002,35.6996002,0,0,0,0,2.7867401,2.7867401,2.7867401,2.7867401,2.7867401,2.7867401,2.7867401,0,0.103301,0.103301,0.103301,0.103301,0.103301,0.103301,0.103301,0.103301,0.103301,0.103301
"6","EMPAID_CU02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","EMPAID_CU03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","EMPAID_CU04",0,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0,0,0,0,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0.49868,0,0,0,0,0,0,0,0,0,0,0
"9","EMPAID_CU05",4.2827802,9.1522398,9.1522398,9.1522398,9.1522398,9.1522398,9.1522398,9.1522398,9.1522398,9.1522398,9.1522398,0,0,0,0,3.6961,3.6961,3.6961,3.6961,3.6961,3.6961,3.6961,0.633302,0.987444,0.987444,0.987444,0.987444,0.987444,0.987444,0.987444,0.987444,0.987444,0.987444
"10","EMPAID_CU06",4.8107901,12.5550003,12.5550003,12.5550003,12.5550003,12.5550003,12.5550003,12.5550003,12.5550003,12.5550003,12.5550003,0,0,0,0,4.75213,4.75213,4.75213,4.75213,4.75213,4.75213,4.75213,0.668857,0.921889,0.921889,0.921889,0.921889,0.921889,0.921889,0.921889,0.921889,0.921889,0.921889
"11","EMPAID_CU07",3.8721001,19.9179001,19.9179001,19.9179001,19.9179001,19.9179001,19.9179001,19.9179001,19.9179001,19.9179001,19.9179001,0,0,0,0,5.8081598,5.8081598,5.8081598,5.8081598,5.8081598,5.8081598,5.8081598,0.553858,0.600218,0.600218,0.600218,0.600218,0.600218,0.600218,0.600218,0.600218,0.600218,0.600218
"12","EMPAID_CU08",2.9334099,27.8673992,27.8673992,27.8673992,27.8673992,27.8673992,27.8673992,27.8673992,27.8673992,27.8673992,27.8673992,0,0,0,0,5.8081598,5.8081598,5.8081598,5.8081598,5.8081598,5.8081598,5.8081598,0,0.336496,0.336496,0.336496,0.336496,0.336496,0.336496,0.336496,0.336496,0.336496,0.336496
"13","EMPAID_CU09",2.9334099,34.966301,34.966301,34.966301,34.966301,34.966301,34.966301,34.966301,34.966301,34.966301,34.966301,0,0,0,0,5.8081598,5.8081598,5.8081598,5.8081598,5.8081598,5.8081598,5.8081598,0,0.288175,0.288175,0.288175,0.288175,0.288175,0.288175,0.288175,0.288175,0.288175,0.288175
"14","EMPAID_P01",25.8726997,25.8726997,25.8726997,25.8726997,25.8726997,25.8726997,25.8726997,25.8726997,25.8726997,25.8726997,25.8726997,4.69346,4.69346,4.69346,4.69346,4.69346,4.69346,4.69346,4.69346,4.69346,4.69346,4.69346,0.665076,0.665076,0.665076,0.665076,0.665076,0.665076,0.665076,0.665076,0.665076,0.665076,0.665076
"15","EMPAID_S01",2.5227301,2.5227301,2.5227301,2.5227301,2.5227301,2.5227301,2.5227301,2.5227301,2.5227301,2.5227301,2.5227301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
